recipe,difficulty,page,minutes,section,video_title,video_date,video_src,video_thumbnail
Honey Tahini Challah,3.0625,295,246,Breads and Savory Baking,Claire Saffitz Makes Challah Bread | Dessert Person,"Jun 10, 2021",https://www.youtube.com/watch?v=y394gJelE-U,https://i.ytimg.com/vi/y394gJelE-U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOEkxzQVe7PNZ2u0X-RT6B2rrjig
Kabocha Tumeric Tea Cake,1.285714286,42,90,Loaf Cakes and Single-Layer Cakes,,,,
Kouign-Amann,5.285714286,257,432,Breakfast and Brunch,,,,
Loaded Corn Bread,1.428571429,268,60,Breads and Savory Baking,Claire Saffitz Makes Cornbread | Dessert Person,"May 13, 2021",https://www.youtube.com/watch?v=JO1YeONclmg,https://i.ytimg.com/vi/JO1YeONclmg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGxYG9-ba613hnlJOXDS3Kp_aOMA
Macrona Almond Cookies,1.571428571,127,49,Bars and Cookies,,,,
Malted Forever Brownies,2.714285714,139,182,Bars and Cookies,"Claire Saffitz Makes Malted ""Forever"" Brownies | Dessert Person","Feb 11, 2021",https://www.youtube.com/watch?v=kPa8crk-NEI,https://i.ytimg.com/vi/kPa8crk-NEI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATL1630zAqEZ6yTN_RFv6ZjIEwkA
Marscapone Cake With Red Wine Prunes,2.214285714,47,106,Loaf Cakes and Single-Layer Cakes,,,,
Meyer Lemon Tart,3.625,104,184,Pies and Tarts,Claire Saffitz Makes Meyer Lemon Tart | Dessert Person,"Mar 25, 2021",https://www.youtube.com/watch?v=Fowgc-J4kCc,https://i.ytimg.com/vi/Fowgc-J4kCc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8EFgTwSSt7SJU673UXYkRO5TK6Q
Minty Lime Bars,3.375,155,186,Bars and Cookies,,,,
Miso Buttermilk Biscuits,1.142857143,271,96,Breads and Savory Baking,Claire Saffitz Makes Miso Buttermilk Biscuits | Dessert Person,"May 5, 2022",https://www.youtube.com/watch?v=lcKHIqZbXkc,https://i.ytimg.com/vi/lcKHIqZbXkc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7JcvsP9QEAmb6RIsDFxcksGb4UQ
Oat And Pecan Brittle Cookies,3.25,151,960,Bars and Cookies,Claire Saffitz Makes The Best Oatmeal Cookies | Dessert Person,"Dec 17, 2020",https://www.youtube.com/watch?v=gGBC4-CsXOM,https://i.ytimg.com/vi/gGBC4-CsXOM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC39RO5lSlQrdwtqUbhCRvF_cpxGg
Peach Melba Tart,4.428571429,121,90,Pies and Tarts,,,,
Peanut Butter And Concord Grape Sandwich Cookies,3.25,163,264,Bars and Cookies,The Best Peanut Butter Cookies with Claire Saffitz | Dessert Person,"Apr 28, 2022",https://www.youtube.com/watch?v=vYZruvJMN_w,https://i.ytimg.com/vi/vYZruvJMN_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmVOV9RKKJgCFFZI8pPrKa1zDpkQ
Pear Chestnut Cake,2.571428571,51,90,Loaf Cakes and Single-Layer Cakes,,,,
Pigs In A Brioche Blanket,3.75,303,90,Breads and Savory Baking,The Most Delicious Pigs In A Blanket Recipe With Claire Saffitz | Dessert Person,"Jul 28, 2022",https://www.youtube.com/watch?v=qqS6_7LqDoI,https://i.ytimg.com/vi/qqS6_7LqDoI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvj1m8nsM3WjGrCM33yov4gC8DOw
